A̱o,Hombres,Mujeres,TOTAL
1990,11520124,4806320,16326444
1991,11823659,5120803,16944462
1992,12096253,5436837,17533090
1993,12296224,5693225,17989449
1994,12503082,5951573,18454655
1995,12711985,6205392,18917377
1996,12948702,6471546,19420248
1997,13150928,6757503,19908431
1998,13429851,7057010,20486861
1999,13622620,7329699,20952319
2000,13804611,7612495,21417106
2001,13696414,7852025,21548439
2002,13849261,8118246,21967507
2003,13986087,8395498,22381585
2004,14318263,8701157,23019420
2005,14589515,9032391,23621906
2006,14774983,9368500,24143483
2007,15007265,9705015,24712280
2008,15410523,10084845,25495368
2009,15464023,10268364,25732387
2010,15428228,10370777,25799005
2011,15545721,10587789,26133510
2012,15606700,10717271,26323971
2013,15616630,10785030,26401660
2014,15347999,10869203,26217202
2015,15362190,10987846,26350036
2016,15377544,11136482,26514026
2017,15393674,11255779,26649453
2018,15445667,11408087,26853754
2019,15624690,11686325,27311015
