Provincias,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,CodProvincia
Álava,883.0,910.0,871.0,1039.0,924.0,1149.0,1118.0,1120.0,534.0,1339.0,1357.0,1209.0,443.0,444.0,456.0,836.0,694.0,397.0,834.0,910.0,906.0,918.0,912.0,1006.0,998.0,1044.0,1029.0,24280.0,01
Albacete,654.0,708.0,736.0,773.0,675.0,864.0,855.0,910.0,855.0,942.0,888.0,904.0,1027.0,923.0,936.0,762.0,558.0,484.0,415.0,497.0,481.0,616.0,605.0,690.0,711.0,708.0,702.0,19879.0,02
Alicante,2165.0,2066.0,2067.0,2118.0,1902.0,2495.0,2714.0,2815.0,2540.0,2368.0,2405.0,2478.0,2260.0,2669.0,2442.0,1989.0,1800.0,1718.0,2488.0,2018.0,2465.0,2602.0,2708.0,3028.0,2954.0,3021.0,2853.0,65148.0,03
Almería,593.0,579.0,652.0,764.0,731.0,889.0,850.0,828.0,904.0,822.0,850.0,905.0,1121.0,1099.0,1124.0,942.0,816.0,691.0,754.0,850.0,788.0,691.0,733.0,713.0,1190.0,1194.0,1092.0,23165.0,04
Ávila,340.0,316.0,338.0,359.0,430.0,448.0,477.0,493.0,449.0,550.0,543.0,545.0,522.0,487.0,625.0,550.0,444.0,481.0,471.0,348.0,378.0,464.0,457.0,442.0,385.0,382.0,336.0,12060.0,05
Badajoz,752.0,798.0,747.0,806.0,852.0,984.0,1036.0,1029.0,984.0,1069.0,1134.0,1052.0,1031.0,950.0,1070.0,872.0,873.0,863.0,884.0,812.0,755.0,925.0,880.0,889.0,1013.0,951.0,881.0,24892.0,06
Balears (Illes),2220.0,2301.0,3102.0,2912.0,2713.0,3358.0,3337.0,3466.0,3210.0,2807.0,3141.0,2915.0,2567.0,2082.0,2236.0,2116.0,1821.0,2240.0,2003.0,2164.0,3431.0,3229.0,3460.0,3821.0,3783.0,3450.0,3356.0,77241.0,07
Barcelona,15844.0,15447.0,15680.0,15985.0,16796.0,18506.0,18620.0,18230.0,18054.0,16913.0,16470.0,15873.0,16487.0,18207.0,19232.0,18420.0,18364.0,18107.0,17342.0,17836.0,18402.0,18473.0,19625.0,20910.0,20986.0,20862.0,20591.0,486262.0,08
Burgos,1015.0,1036.0,1224.0,1276.0,1232.0,1096.0,1170.0,1091.0,1220.0,1299.0,1192.0,1125.0,926.0,848.0,738.0,786.0,812.0,888.0,876.0,799.0,836.0,747.0,788.0,845.0,807.0,749.0,638.0,26059.0,09
Cáceres,384.0,343.0,395.0,365.0,386.0,536.0,512.0,560.0,559.0,628.0,569.0,590.0,656.0,672.0,724.0,681.0,594.0,579.0,481.0,472.0,506.0,472.0,518.0,419.0,478.0,504.0,531.0,14114.0,10
Cádiz,1909.0,1774.0,2094.0,1881.0,1886.0,2395.0,2217.0,2032.0,2527.0,2648.0,3228.0,3289.0,3526.0,3688.0,3344.0,2935.0,2920.0,3026.0,2474.0,2261.0,2318.0,2709.0,3080.0,2757.0,2869.0,2556.0,2765.0,71108.0,11
Castellón,868.0,968.0,1114.0,1113.0,1093.0,1146.0,1163.0,1219.0,1133.0,1095.0,1071.0,1067.0,1236.0,1149.0,1202.0,973.0,899.0,781.0,704.0,707.0,689.0,672.0,708.0,786.0,809.0,885.0,878.0,26128.0,12
Ciudad Real,728.0,876.0,839.0,781.0,865.0,1010.0,1077.0,1073.0,1188.0,1246.0,1219.0,1077.0,1053.0,864.0,835.0,653.0,613.0,641.0,556.0,484.0,586.0,635.0,640.0,675.0,563.0,500.0,463.0,21740.0,13
Córdoba,1412.0,1368.0,1261.0,1255.0,1367.0,1512.0,1291.0,1267.0,1169.0,1223.0,1188.0,1140.0,1185.0,1063.0,1062.0,804.0,892.0,890.0,1138.0,1144.0,1323.0,1418.0,1491.0,1359.0,1170.0,1077.0,1142.0,32611.0,14
Coruña (A),2022.0,2073.0,2159.0,1916.0,1909.0,2529.0,2729.0,2382.0,2175.0,1942.0,2199.0,1953.0,1735.0,1796.0,1512.0,1025.0,947.0,1038.0,916.0,1077.0,1256.0,1114.0,1443.0,1978.0,1876.0,1752.0,1816.0,47269.0,15
Cuenca,478.0,495.0,525.0,602.0,508.0,605.0,667.0,632.0,652.0,724.0,750.0,638.0,617.0,600.0,603.0,516.0,438.0,479.0,404.0,367.0,374.0,362.0,316.0,294.0,282.0,250.0,271.0,13449.0,16
Girona,1640.0,1595.0,1772.0,1838.0,1561.0,2262.0,1973.0,2088.0,1696.0,1831.0,1441.0,1628.0,1600.0,2656.0,2744.0,2540.0,2727.0,2603.0,2271.0,2435.0,2265.0,2329.0,2409.0,2701.0,2676.0,2550.0,2520.0,58351.0,17
Granada,1064.0,1044.0,1324.0,1301.0,1366.0,1517.0,1637.0,1401.0,1384.0,1323.0,1606.0,1399.0,1316.0,1660.0,1919.0,1557.0,1333.0,1214.0,1403.0,1635.0,1820.0,1421.0,1251.0,1931.0,1839.0,1692.0,1783.0,40140.0,18
Guadalajara,293.0,289.0,313.0,335.0,275.0,337.0,383.0,356.0,387.0,406.0,534.0,491.0,433.0,439.0,397.0,361.0,230.0,300.0,295.0,297.0,281.0,222.0,218.0,254.0,257.0,327.0,312.0,9022.0,19
Gipuzkoa,1805.0,1922.0,1877.0,1775.0,988.0,960.0,921.0,1984.0,2742.0,2562.0,2710.0,2015.0,1279.0,1324.0,1344.0,2181.0,1974.0,1760.0,1735.0,1792.0,1765.0,1902.0,1754.0,1938.0,1723.0,1784.0,1799.0,48315.0,20
Huelva,704.0,773.0,770.0,730.0,807.0,917.0,991.0,851.0,623.0,732.0,769.0,720.0,685.0,984.0,888.0,885.0,709.0,635.0,649.0,542.0,551.0,624.0,721.0,644.0,763.0,718.0,752.0,20137.0,21
Huesca,464.0,403.0,436.0,493.0,492.0,625.0,706.0,654.0,678.0,688.0,831.0,803.0,778.0,775.0,652.0,583.0,453.0,448.0,380.0,368.0,422.0,387.0,482.0,463.0,498.0,380.0,441.0,14783.0,22
Jaén,829.0,707.0,760.0,821.0,929.0,981.0,1010.0,1099.0,1055.0,1128.0,1135.0,1056.0,1022.0,1041.0,1017.0,931.0,797.0,703.0,827.0,823.0,816.0,1062.0,1023.0,925.0,928.0,855.0,835.0,25115.0,23
León,1136.0,1123.0,1232.0,1332.0,1435.0,1479.0,1488.0,1382.0,1519.0,1332.0,1376.0,1317.0,1159.0,1095.0,1298.0,1081.0,989.0,904.0,823.0,814.0,827.0,609.0,810.0,899.0,859.0,819.0,745.0,29882.0,24
Lleida,844.0,800.0,913.0,918.0,1023.0,1051.0,945.0,1225.0,1349.0,1125.0,1080.0,1044.0,972.0,1469.0,1480.0,1210.0,1280.0,1296.0,1164.0,1163.0,1195.0,1144.0,1251.0,1316.0,1391.0,1431.0,1352.0,31431.0,25
Rioja (La),475.0,559.0,611.0,650.0,702.0,726.0,589.0,608.0,574.0,554.0,589.0,612.0,679.0,728.0,748.0,699.0,692.0,645.0,651.0,638.0,655.0,650.0,707.0,712.0,709.0,602.0,594.0,17358.0,26
Lugo,727.0,761.0,860.0,948.0,963.0,1118.0,1046.0,1184.0,1075.0,999.0,1145.0,1065.0,1003.0,707.0,626.0,474.0,389.0,401.0,366.0,469.0,522.0,546.0,549.0,611.0,547.0,532.0,453.0,20086.0,27
Madrid,8666.0,8494.0,9158.0,10092.0,10452.0,12594.0,12125.0,13314.0,13401.0,12936.0,13806.0,12752.0,11901.0,15390.0,15461.0,13995.0,13734.0,13998.0,13962.0,13633.0,14114.0,15078.0,15422.0,16158.0,16248.0,16614.0,16628.0,360126.0,28
Málaga,1857.0,1875.0,2278.0,2164.0,2560.0,2667.0,2618.0,2632.0,2280.0,2560.0,2545.0,2333.0,2636.0,2340.0,3324.0,2936.0,2626.0,2153.0,1963.0,1929.0,2711.0,2579.0,2514.0,2215.0,2035.0,4265.0,5006.0,69601.0,29
Murcia,1564.0,1469.0,1747.0,1612.0,1655.0,1769.0,2088.0,2190.0,1767.0,1703.0,1644.0,1624.0,1642.0,1838.0,1491.0,984.0,782.0,633.0,625.0,673.0,863.0,826.0,1755.0,2304.0,2480.0,2518.0,2682.0,42928.0,30
Navarra,575.0,648.0,606.0,490.0,474.0,583.0,579.0,517.0,505.0,461.0,457.0,453.0,394.0,286.0,258.0,341.0,494.0,439.0,392.0,391.0,396.0,457.0,450.0,731.0,872.0,825.0,789.0,13863.0,31
Ourense,741.0,720.0,699.0,791.0,780.0,754.0,605.0,721.0,684.0,614.0,746.0,581.0,498.0,451.0,356.0,341.0,294.0,292.0,277.0,325.0,313.0,373.0,403.0,422.0,446.0,402.0,390.0,14019.0,32
Asturias,2112.0,1992.0,2182.0,2033.0,2026.0,2419.0,2978.0,2645.0,2758.0,2882.0,2662.0,2453.0,2379.0,2593.0,2441.0,2178.0,1986.0,1821.0,1864.0,1935.0,2298.0,2262.0,2374.0,2224.0,2312.0,2068.0,1981.0,61858.0,33
Palencia,547.0,561.0,528.0,534.0,537.0,630.0,614.0,595.0,594.0,514.0,494.0,468.0,533.0,520.0,446.0,414.0,350.0,377.0,314.0,251.0,270.0,253.0,264.0,250.0,239.0,185.0,163.0,11445.0,34
Palmas (Las),867.0,951.0,1109.0,1540.0,1618.0,1965.0,1686.0,1555.0,1580.0,1379.0,1162.0,948.0,964.0,756.0,819.0,718.0,832.0,679.0,656.0,702.0,698.0,1239.0,1472.0,1314.0,1302.0,1272.0,2158.0,31941.0,35
Pontevedra,1435.0,1515.0,1753.0,2034.0,1988.0,2081.0,2222.0,1904.0,2012.0,1943.0,1797.0,1508.0,1506.0,1732.0,1911.0,1945.0,1919.0,1923.0,1672.0,1729.0,1694.0,1854.0,2068.0,1726.0,1760.0,1694.0,1868.0,49193.0,36
Salamanca,611.0,556.0,566.0,583.0,620.0,737.0,729.0,765.0,777.0,801.0,866.0,976.0,1033.0,1017.0,1016.0,832.0,450.0,565.0,629.0,655.0,811.0,664.0,643.0,662.0,500.0,500.0,388.0,18952.0,37
Sta Cruz Tenerife,1190.0,1300.0,1406.0,1425.0,1404.0,1547.0,1396.0,1104.0,964.0,954.0,1212.0,1073.0,1140.0,1148.0,1041.0,1444.0,1374.0,1326.0,1221.0,1165.0,1653.0,1812.0,1797.0,2257.0,2216.0,2167.0,2242.0,38978.0,38
Cantabria,995.0,957.0,1010.0,959.0,842.0,919.0,961.0,1000.0,1017.0,1125.0,1043.0,966.0,891.0,939.0,864.0,867.0,843.0,768.0,694.0,713.0,815.0,745.0,703.0,710.0,714.0,628.0,920.0,23608.0,39
Segovia,445.0,388.0,440.0,418.0,439.0,471.0,471.0,390.0,386.0,383.0,385.0,430.0,428.0,443.0,384.0,337.0,277.0,288.0,270.0,360.0,309.0,271.0,324.0,312.0,295.0,357.0,325.0,10026.0,40
Sevilla,3051.0,2425.0,2593.0,2433.0,2608.0,2639.0,2313.0,3691.0,3881.0,4293.0,3989.0,3660.0,3108.0,3631.0,2822.0,2751.0,3090.0,2882.0,2421.0,2464.0,3617.0,4305.0,5371.0,5033.0,4592.0,4454.0,4589.0,92706.0,41
Soria,263.0,277.0,287.0,255.0,267.0,344.0,327.0,344.0,324.0,320.0,340.0,341.0,287.0,272.0,271.0,238.0,251.0,224.0,226.0,171.0,119.0,118.0,121.0,143.0,113.0,144.0,123.0,6510.0,42
Tarragona,1591.0,1411.0,1545.0,1695.0,1828.0,2169.0,2113.0,1895.0,1893.0,1596.0,1627.0,1684.0,1906.0,2522.0,2600.0,2420.0,2292.0,2126.0,1998.0,1934.0,1969.0,1882.0,2001.0,2066.0,1999.0,2064.0,2113.0,52939.0,43
Teruel,229.0,220.0,232.0,189.0,184.0,218.0,239.0,296.0,262.0,279.0,291.0,364.0,383.0,257.0,281.0,225.0,214.0,195.0,172.0,165.0,148.0,195.0,148.0,182.0,214.0,185.0,185.0,6152.0,44
Toledo,792.0,827.0,892.0,1003.0,920.0,924.0,966.0,1229.0,1165.0,1068.0,1268.0,1086.0,1013.0,1267.0,1251.0,978.0,980.0,1053.0,1026.0,1001.0,884.0,709.0,849.0,906.0,836.0,709.0,777.0,26379.0,45
Valencia,4766.0,4833.0,4615.0,4843.0,4943.0,5115.0,5453.0,5951.0,5773.0,5325.0,5286.0,4776.0,5670.0,6697.0,6664.0,6047.0,4751.0,4437.0,4214.0,4265.0,4378.0,3914.0,4227.0,4402.0,4278.0,4280.0,4404.0,134307.0,46
Valladolid,1150.0,1117.0,1279.0,1275.0,1208.0,1301.0,1173.0,1099.0,883.0,884.0,757.0,748.0,789.0,790.0,745.0,681.0,546.0,520.0,565.0,812.0,783.0,791.0,836.0,904.0,932.0,887.0,895.0,24350.0,47
Bizkaia,1818.0,1598.0,1641.0,1650.0,1407.0,1518.0,1631.0,2682.0,3246.0,3264.0,3347.0,3106.0,1814.0,1644.0,1580.0,2119.0,2216.0,2093.0,2076.0,1894.0,1880.0,1860.0,1884.0,1923.0,2002.0,1924.0,2024.0,55841.0,48
Zamora,508.0,408.0,431.0,481.0,462.0,493.0,505.0,496.0,445.0,403.0,422.0,365.0,324.0,303.0,314.0,250.0,260.0,227.0,189.0,173.0,140.0,126.0,108.0,124.0,215.0,241.0,206.0,8619.0,49
Zaragoza,1649.0,1580.0,1619.0,1681.0,1747.0,1910.0,2184.0,2372.0,2269.0,2196.0,2206.0,2118.0,2056.0,1957.0,2297.0,2129.0,1820.0,1679.0,1556.0,1511.0,1470.0,1518.0,1570.0,1529.0,1694.0,1585.0,1609.0,49511.0,50
Ceuta,90.0,106.0,86.0,88.0,60.0,57.0,33.0,91.0,89.0,45.0,46.0,109.0,50.0,25.0,20.0,3.0,291.0,113.0,240.0,143.0,166.0,289.0,319.0,297.0,409.0,406.0,309.0,3980.0,51
Melilla,165.0,212.0,212.0,234.0,228.0,251.0,280.0,272.0,203.0,210.0,169.0,177.0,524.0,560.0,597.0,626.0,521.0,480.0,501.0,399.0,407.0,507.0,594.0,562.0,466.0,350.0,376.0,10083.0,52
